whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28284,Manuscript,8,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28284,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28285,Manuscript,9,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28285,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28286,Manuscript,10,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28286,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28287,Manuscript,11,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28287,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28288,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28288,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28289,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28289,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28290,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28290,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28291,Manuscript,15,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28291,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28292,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28292,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28293,Manuscript,17,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28293,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28294,Manuscript,18,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28294,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28295,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28295,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28296,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28296,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28297,Manuscript,2,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28297,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28298,Manuscript,3,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28298,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
