dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
Statistical power of a proposed method for detecting the effect of waste heat on benthos populations / Edward M. Johnston.,(dlps) 4742322.0001.001,http://name.umdl.umich.edu/4742322.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742322.0001.001,1974,text,"Johnston, Edward M.",University of Michigan. Great Lakes Research Division.,,,,,,,"iv, 29 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",Includes bibliographical references (p. 29).,,,The University of Michigan Great Lakes Digital Library,,"Thermal pollution of rivers, lakes, etc.",Donald C. Cook Plant -- Environmental aspects.,,,,,,eng
Lake Michigan environmental survey : final report / [edited] by John C. Ayers.,(dlps) 4738400.0001.001,http://name.umdl.umich.edu/4738400.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738400.0001.001,1970,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,"vi, 67, [36] p. : ill. ; 29 cm.",Under Contract with: American Electric Power Service Corp. ... [et al.],Bibliography: p. 65-67.,,,,The University of Michigan Great Lakes Digital Library,,"Radioecology -- Michigan, Lake.","Michigan, Lake.",,,,,,eng
"Lake and shore ice conditions on southeastern Lake Michigan in the vicinity of the Donald C. Cook Nuclear Plant : Winter 1973-74 / by Erwin Seibel, Christopher T. Carlson, Joseph W. Maresca.",(dlps) 4738441.0001.001,http://name.umdl.umich.edu/4738441.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738441.0001.001,1975,text,"Seibel, Erwin., 1942-","Carlson, Christopher T.","Maresca, Joseph W.",University of Michigan. Great Lakes Research Division.,,,,,"vi, 62 p. : ill., map. graphs ; 28 cm.",Includes bibliographical references.,,,,,The University of Michigan Great Lakes Digital Library,,"Ice on rivers, lakes, etc. -- Michigan.",Beaches -- Michigan.,"Michigan, Lake.",,,,,eng
"Vertical current structure in the Great Lakes / Vincent E. Noble, Joseph C. Huang, James H. Saylor.",(dlps) 4737946.0001.001,http://name.umdl.umich.edu/4737946.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737946.0001.001,1968,text,"Noble, Vincent E.","Huang, Joseph C.","Saylor, James H.",University of Michigan. Great Lakes Research Division.,,,,,"vii, 94 p. : ill. ; 28 cm.","Final report: Federal Water Pollution Control Administration, Grant WP-01067.",Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,"Lakes -- Circulation -- Michigan, Lake.",,,,,,,eng
"Effects of nutrient enrichment, light intensity, and temperature on growth of phytoplankton from Lake Huron / by C. Kwei Lin, Claire L. Schelske.",(dlps) 4738938.0001.001,http://name.umdl.umich.edu/4738938.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738938.0001.001,1978,text,"Lin, C. Kwei.","Schelske, Claire L.",University of Michigan. Great Lakes Research Division.,,,,,,"xiii, 61 p. : ill., map ; 28 cm.",Bibliography: p. 59-61.,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Huron, Lake (Mich. and Ont.)",Plants -- Effect of temperature on.,Plants -- Effect of solar radiation on.,Plants -- Nutrition.,,,,eng
Winter temperature data from Federal Water Pollution Control Administration (Great Lakes-Illinois River Basins Project ) buoy stations / [by] Vincent E. Noble and April Michaelis.,(dlps) 4738080.0001.001,http://name.umdl.umich.edu/4738080.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738080.0001.001,1968,text,"Noble, Vincent E.","Michaelis, April, author.",University of Michigan. Great Lakes Research Division.,,,,,,387 p. : chiefly tables ; 28 cm.,"Research supported by National Science Foundation, Section on Atmospheric Sciences, NSF GP-2411 and GA-524.",,,,,The University of Michigan Great Lakes Digital Library,,Water temperature.,"Michigan, Lake.","Huron, Lake (Mich. and Ont.)",,,,,eng
Compensation in fish populations subject to catastrophic impact / Pamela J. Mansfield ... [et al.].,(dlps) 4740150.0001.001,http://name.umdl.umich.edu/4740150.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740150.0001.001,1985,text,"Mansfield, Pamela J.",Electric Power Research Institute.,University of Michigan. Great Lakes Research Division.,,,,,,"vi, 176 p. ;  28 cm.",Cover title.,"Under contract to the Electric Power Research Institute, Palo Alto, California.",Includes bibliographical references.,,,The University of Michigan Great Lakes Digital Library,,Fishes -- Behavior.,Fish populations.,,,,,,eng
Sediments of Southern Lake Huron : elemental composition and accumulation rates / by John A. Robbins.,(dlps) 4739857.0001.001,http://name.umdl.umich.edu/4739857.0001.001,"[Ann Arbor, Mich.? :: s.n.,],","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739857.0001.001,1980,text,"Robbins, John A.",University of Michigan. Great Lakes Research Division.,,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,"Marine sediments -- Huron, Lake (Mich. and Ont.)","Sedimentation and deposition -- Huron, Lake (Mich. and Ont.)",,,,,,eng
"Comparative studies of the zoobenthos of a natural and man-made rocky habitat on the eastern shore of Lake Michigan / Diane D. Lauritsen, David S. White.",(dlps) 4739098.0001.001,http://name.umdl.umich.edu/4739098.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739098.0001.001,1981,text,"Lauritsen, Diane D.","White, David S.",University of Michigan. Great Lakes Research Division.,,,,,,"viii, 65 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,,"Benthos -- Michigan, Lake.","Lake animals -- Michigan, Lake.",,,,,,eng
Plankton diatom assemblages in Lake Michigan / [by] E.F. Stoermer [and] J.J. Yang.,(dlps) 1999780.0001.001,http://name.umdl.umich.edu/1999780.0001.001,"Ann Arbor,:","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:1999780.0001.001,1969,text,"Stoermer, E F","Yang, J.J., joint author.",,,,,,,268 p.,,,,,,The University of Michigan Great Lakes Digital Library,,"Plankton -- Michigan, Lake.","Fragilariaceae -- Michigan, Lake.",,,,,,eng
