dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
Report of NAVOCEANO flight over Lake Michigan 17-21 October 1966.,(dlps) 4737761.0001.001,http://name.umdl.umich.edu/4737761.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737761.0001.001,1967,text,"Wilkerson, John.",United States. Naval Oceanographic Office.,University of Michigan. Great Lakes Research Division.,University of Wisconsin. Dept. of Meteorology.,,,,,"v, 17, [34] p. : ill. ; 28 cm.",Cover title.,Scientific personnel: J. Wilkerson... [et al.].,The Great Lakes Research Division of the University of Michigan and the Meteorology Department of the University of Wisconsin participated in the flight operations.,,,The University of Michigan Great Lakes Digital Library,,"Meteorology -- Michigan, Lake.","Michigan, Lake.",,,,,,eng
Air photo interpretation of Great Lakes ice features / Ernest W. Marshall.,(dlps) 4736697.0001.001,http://name.umdl.umich.edu/4736697.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Institute of Science and Technology, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4736697.0001.001,1966,text,"Marshall, Ernest Willard, 1925-",University of Michigan. Great Lakes Research Division.,,,,,,,"ix, 92 p. : ill., map ; 28 cm.",Cover title.,Bibliography: p. 83-84.,,,,The University of Michigan Great Lakes Digital Library,,"Ice on rivers, lakes, etc. -- Great Lakes.",,,,,,,eng
The thermal current structure in Lake Michigan : a theoretical and observation model study.,(dlps) 4738107.0001.001,http://name.umdl.umich.edu/4738107.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738107.0001.001,1969,text,"Huang, Chi-kan.",University of Michigan. Great Lakes Research Division.,,,,,,,"xii, 169 p. : ill., tables ; 28 cm.",Research supported by Federal Water Pollution Control Administration Grant WP-00311 and National Science Foundation Grant GA-524.,"Issued also as thesis--(Ph. D.)--University of Michigan, 1969.",Bibliography: p. 164-169.,,,The University of Michigan Great Lakes Digital Library,,"Michigan, Lake.",,,,,,,eng
Zooplankton studies in 1977 and 1978 at the Donald C. Cook Nuclear Power Plant : comparisons of preoperational (1971-1974) and operational (1975-1978) population characteristics.,(dlps) 0120745.0001.001,http://name.umdl.umich.edu/0120745.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:0120745.0001.001,1982,text,"Evans, Marlene S.",,,,,,,Unspecified,,,,,,,The University of Michigan Great Lakes Digital Library,Science,"Zooplankton -- Michigan, Lake.",,,,,,,eng
"The 1975 and 1976 operational zooplankton investigations relative to the Donald C. Cook Nuclear Power Plant, with tests for plant effects (1971-1976) / Marlene S. Evans, Thomas E. Wurster, Bethany E. Hawkins.",(dlps) 3560566.0001.001,http://name.umdl.umich.edu/3560566.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3560566.0001.001,1978,text,"Evans, Marlene S.","Wurster, Thomas E., joint author.","Hawkins, Bethany E., joint author.",,,,,Unspecified,"xxvi, 166 p. : ill. ; 29 cm & appendix (4 fiches in pocket ; 11 x 15 cm.)","Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.","""References"": p. 160-166.",,,,The University of Michigan Great Lakes Digital Library,Science,"Zooplankton -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Donald C. Cook Nuclear Plant, Mich.",,,,,eng
"Sediments of Saginaw Bay, Lake Huron : elemental composition and accumulation rates / John A. Robbins.",(dlps) 4740088.0001.001,http://name.umdl.umich.edu/4740088.0001.001,"Duluth, Minn. :: Environmental Research Laboratory--Duluth Office of Research and Development, U.S. Environmental Protection Agency ;,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740088.0001.001,1986,text,"Robbins, John A.","Mullin, Michael D.","Environmental Research Laboratory (Duluth, Minn.)",University of Michigan. Great Lakes Research Division.,,,,,"vii, 103 p. : ill., maps ; 28 cm.",Cover title.,Grant no. R803086.,Bibliography: p. 97-103.,,,The University of Michigan Great Lakes Digital Library,,"Sedimentation and deposition -- Huron, Lake (Mich. and Ont.)","Benthos -- Huron, Lake (Mich. and Ont.)",Metals -- Measurement.,,,,,eng
"Adult and juvenile fish, ichthyoplankton and benthos populations in the vicinity of the J. H. Campbell Power Plant, eastern Lake Michigan, 1977 / by D.J. Jude ... [et al.].",(dlps) 3560563.0001.001,http://name.umdl.umich.edu/3560563.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3560563.0001.001,1978,text,"Jude, David J. (David John), 1944-",,,,,,,Unspecified,"viii, 639 p. : ill. ; 29 cm.",Under contract with Consumers Power Company.,Bibliography: p. 495-512.,,,,The University of Michigan Great Lakes Digital Library,Science,Fishes -- Michigan.,Benthos -- Michigan.,Fishes -- Eggs.,Larvae -- Eggs.,"Michigan, Lake.",,,eng
Postglacial uplift in the Great Lakes region / by William F. MacLean.,(dlps) 3560575.0001.001,http://name.umdl.umich.edu/3560575.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3560575.0001.001,1961,text,"MacLean, William F., 1921-",University of Michigan. Great Lakes Research Division.,,,,,,,"ix, 234 p. : ill., map ; 28 cm.",Cover title.,The text of this report was submitted as a doctoral dissertation to the ... University of Michigan.,Bibliography: p. 155-175.,,,The University of Michigan Great Lakes Digital Library,,"Geology, Stratigraphic",Geology -- Great Lakes.,Great Lakes.,,,,,eng
"Spatial and temporal distribution of benthic macroinvertebrates and sediments collected in the vicinity of the J.H. Campbell Plant, eastern Lake Michigan, 1979 / by Michael H. Winnell and David J. Jude.",(dlps) 4739134.0001.001,http://name.umdl.umich.edu/4739134.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739134.0001.001,1980,text,"Winnell, Michael H.","Jude, David J. (David John), 1944-",Consumers Power Company.,University of Michigan. Great Lakes Research Division.,,,,,"v, 132 p. : ill. ; 28 cm.",November 1980.,Includes bibliographical references (p. 107-111).,,,,The University of Michigan Great Lakes Digital Library,,"Lake ecology -- Michigan, Lake.","Freshwater invertebrates -- Michigan, Lake.","Lake sediments -- Michigan, Lake.","Benthos -- Michigan, Lake.","Thermal pollution of rivers, lakes, etc. -- Environmental aspects -- Michigan, Lake.","Power-plants -- Environmental aspects -- Michigan, Lake.",J.H. Campbell Power Plant (Mich.),eng
The 1974 preoperational zooplankton investigations relative to the Donald C. Cook Nuclear Plant / by Marlene S. Evans.,(dlps) 4738451.0001.001,http://name.umdl.umich.edu/4738451.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738451.0001.001,1975,text,"Evans, Marlene S.",University of Michigan. Great Lakes Research Division.,,,,,,,"x, 187 p. : ill. ; 28 cm.","Under contract with American Electric Power Service Corporation, Indiana and Michigan Electric Company; John C. Ayers, project director.",Bibliography: p. 149-154.,,,,The University of Michigan Great Lakes Digital Library,,"Zooplankton -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Plant.,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook nuclear plant, 1978 / William Chang ... [et al.].",(dlps) 4742363.0001.001,http://name.umdl.umich.edu/4742363.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Div., The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742363.0001.001,1981,text,"Chang, William.",University of Michigan. Great Lakes Research Division.,,,,,,,"xiii, 106 p. : ill. ; 28 cm. +",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",Chiefly tables.,"Bibliography: p. iii-v, 103-106.",,The University of Michigan Great Lakes Digital Library,,Phytoplankton.,Nuclear reactors.,Nuclear power plants -- Environmental aspects.,Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
An analysis of mangrove forests along the Gambia River estuary : implications for the management of estuarine resources / Robert R. Twilley.,(dlps) 2445089.0001.001,http://name.umdl.umich.edu/2445089.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:2445089.0001.001,1985,text,"Twilley, Robert Reece, 1952-",,,,,,,,"vii, 75 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,,Mangrove ecology -- Gambia.,Mangrove plants -- Gambia.,Estuarine ecology -- Gambia River.,,,,,eng
"Cook Plant preoperational studies, 1972 / John C. Ayers, Erwin Seibel.",(dlps) 4741443.0001.001,http://name.umdl.umich.edu/4741443.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4741443.0001.001,1973,text,"Ayers, John C. (John Carr), 1912-","Seibel, Erwin.",University of Michigan. Great Lakes Research Division.,,,,,,"iii, 281 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Limnology -- Michigan, Lake.",Donald C. Cook Nuclear Power Station.,,,,,eng
"Phytoplankton of the seasonal surveys of 1980, 1981, and April 1982, and further pre- vs. post-operational comparisons at Cook Nuclear Plant / John C. Ayers, Laurie E. Feldt.",(dlps) 4742374.0001.001,http://name.umdl.umich.edu/4742374.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742374.0001.001,1983,text,"Ayers, John C. (John Carr), 1912-","Feldt, Laurie E.",University of Michigan. Great Lakes Research Division.,,,,,,"91 p. : ill., graphs ; 28 cm. +",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",December 1983.,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
Lake Erie sediment oxygen demand / Fredric C. Leutheuser.,(dlps) 4739171.0001.001,http://name.umdl.umich.edu/4739171.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739171.0001.001,1981,text,"Leutheuser, Fredric C.",University of Michigan. Great Lakes Research Division.,,,,,,,"vii, 45 p. : maps ; 28 cm.",Bibliography: p. 44-45.,,,,,The University of Michigan Great Lakes Digital Library,,"Eutrophication -- Erie, Lake.",,,,,,,eng
"The biological survey of 12 November, 1970 / John C. Ayers, Samuel C. Mozley, James C. Roth.",(dlps) 4742308.0001.001,http://name.umdl.umich.edu/4742308.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742308.0001.001,1973,text,"Ayers, John C. (John Carr), 1912-","Mozley, Samuel C.","Roth, James C.",University of Michigan. Great Lakes Research Division.,,,,,69 p. : ill. ; 28 cm.,Cover title.,July 1973.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.","Predominantly statistical data on bacteria, algae, zooplankton and benthic organisms in the D.C. Cook Plant area of Lake Michigan.",Includes bibliographical references (p. 61).,The University of Michigan Great Lakes Digital Library,,"Water quality biological assessment -- Michigan, Lake.","Aquatic organisms -- Environmental aspects -- Michigan, Lake.","Michigan, Lake -- Environmental aspects.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
Production systems for commonly cultured freshwater fishes of southeast Asia / by James S. Diana ... [et al.].,(dlps) 4743112.0001.001,http://name.umdl.umich.edu/4743112.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4743112.0001.001,1985,text,"Diana, James S. 1951-",University of Michigan. Great Lakes and Marine Waters Center.,,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,"Aquaculture -- Asia, Southeastern.","Fisheries -- Asia, Southeastern.","Freshwater fishes -- Asia, Southeastern.",,,,,eng
Vertical current structure in the Great Lakes / Vincent E. Noble.,(dlps) 4736765.0001.001,http://name.umdl.umich.edu/4736765.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4736765.0001.001,1966,text,"Noble, Vincent E.",University of Michigan. Great Lakes Research Division.,,,,,,,42 p. : ill. ; 28 cm.,Includes bibliographical references (p. 40-42).,,,,,The University of Michigan Great Lakes Digital Library,,"Lakes -- Circulation -- Michigan, Lake.",,,,,,,eng
"Studies of the fish population near the Donald C. Cook Nuclear Power Plant, 1972 / David J. Jude ... [et al.].",(dlps) 4741363.0001.001,http://name.umdl.umich.edu/4741363.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4741363.0001.001,1973,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"i, 115 p. : map ; 28 cm.",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana and Michigan Electrical Company.",,,,The University of Michigan Great Lakes Digital Library,,Fish populations.,Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
"Adult, Juvenile, and larval fish populations in the vicinity of the James H. Campbell Plant, 1981 : with special reference to the effectiveness of wedge-wire intake screens in reducing entrainment and impringement of fish / David J. Jude ... [et al.].",(dlps) 4739931.0001.001,http://name.umdl.umich.edu/4739931.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739931.0001.001,1982,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"viii, 516 p. : ill., map ; 28 cm.",Under contract with Consumers Power Company.,Includes index.,Bibliography: p. 373-381.,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.","Fish habitat improvement -- Michigan, Lake.","Fish screens -- Michigan, Lake.","Hydroelectric power plants -- Environmental aspects -- Michigan, Lake.",,,,eng
Bacteria and phytoplankton of the seasonal surveys of 1972 and 1973 / John C. Ayers.,(dlps) 4742324.0001.001,http://name.umdl.umich.edu/4742324.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742324.0001.001,1975,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,"vi, 153 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Michigan, Lake.",Bacteria.,"Michigan, Lake.",,,,,eng
Adult and juvenile fish populations of inshore southeastern Lake Michigan near the Cook Nuclear Power Plant during 1973-82 / Frank J. Tesar and David J. Jude.,(dlps) 4740133.0001.001,http://name.umdl.umich.edu/4740133.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740133.0001.001,1985,text,"Tesar, Frank J.","Jude, David J. (David John), 1944-",American Electric Power Service Corporation.,Indiana and Michigan Electric Company.,University of Michigan. Great Lakes Research Division.,,,,"ix, 94 p. ;  28 cm. +",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant.,,,,,eng
Impingement losses at the D.C. Cook Nuclear Power Plant during 1975-1982 with a discussion of factors responsible and possible impact on local populations / Nancy J. Thurber and David J. Jude.,(dlps) 4740148.0001.001,http://name.umdl.umich.edu/4740148.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740148.0001.001,1985,text,"Thurber, Nancy J.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,"xi, 70, 88 p. : ill. ; 28 cm.",Cover title.,Bibliography: p. 67-70.,,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
"General studies : November, 1967 / by John C. Ayers, Joseph C. K. Huang.",(dlps) 4740262.0001.001,http://name.umdl.umich.edu/4740262.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740262.0001.001,1967,text,"Ayers, John C. (John Carr), 1912-","Huang, Joseph C. K.",University of Michigan. Great Lakes Research Division.,,,,,,1xx p. ;  28 cm.,Cover title.,"Under contract with: American Electric Power Service Corp., Indiana & Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.","Freshwater animals -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
"Ecology of the burrowing amphipod, Pontoporeia affinis, in Lake Michigan / by Wayne Paul Alley.",(dlps) 4737944.0001.001,http://name.umdl.umich.edu/4737944.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737944.0001.001,1968,text,"Alley, Wayne Paul.",University of Michigan. Great Lakes Research Division.,,,,,,,"xvi, 131 p. : ill. ; 28 cm.","Thesis (Ph. D.)--University of Michigan, 1968.",Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,"Amphipoda -- Michigan, Lake.",,,,,,,eng
"The abundance, distribution, and biology of plankton in Lake Michigan : with the addition of a Research Ships of Opportunity Project / report by Andrew Robertson.",(dlps) 4737943.0001.001,http://name.umdl.umich.edu/4737943.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737943.0001.001,1968,text,"Robertson, Andrew, 1936-",United States. Office of Naval Research.,University of Michigan. Great Lakes Research Division.,,,,,,"v, 43 leaves : ill. ; 28 cm.",Cover title.,Bibliography: leaf 43.,,,,The University of Michigan Great Lakes Digital Library,,Freshwater plankton.,Plankton.,Great Lakes -- Research.,,,,,eng
"Zooplankton studies at the Donald C. Cook Nuclear Plant : 1979-1982 investigations, including preoperational (1971-1974) and operational (1975-1982) comparisons / M.S. Evans ... [et al.].",(dlps) 4740144.0001.001,http://name.umdl.umich.edu/4740144.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740144.0001.001,1985,text,"Evans, Marlene S.",University of Michigan. Great Lakes Research Division.,,,,,,,"xvii, 236 p. : ill. ; 28 cm.",Cover title.,Bibliography: p. 229-236.,,,,The University of Michigan Great Lakes Digital Library,,"Zooplankton -- Michigan, Lake.","Thermal pollution of rivers, lakes, etc. -- Environmental aspects -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant.,,,,eng
"Biological, chemical and physical relationships in the Straits of Mackinac / by Claire L. Schelske ... [et al.].",(dlps) 1825548.0001.001,http://name.umdl.umich.edu/1825548.0001.001,"Duluth, Minn. :, Springfield, Va. :: U. S. Environmental Research Laboratory ;, for sale by National Technical Information Center,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:1825548.0001.001,1976,text,"United States. Environmental Research Laboratory, Duluth, Minn.",,,,,,,Unspecified,"xv, 267 p. : ill., maps ; 28 cm.","Prepared for U.S. Environmental Protection Agency, Office of Research and Development, Environmental Research Laboratory, Duluth, Minn., under grant no. R802721.",Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,Science,Limnology -- Michigan.,Aquatic biology -- Michigan,Eutrophication -- Michigan,"Mackinac, Straits of (Mich.)",,,,eng
Constraints imposed by acid sulfate soils on the Gambia's bridge-barrage scheme / by Raymond Colley.,(dlps) 2453886.0001.001,http://name.umdl.umich.edu/2453886.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:2453886.0001.001,1985,text,"Colley, Raymond.",,,,,,,Unspecified,"iii, 33 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,Science,Acid sulphate soils -- Gambia River.,Gambia River -- Barrages.,Soil acidification.,,,,,eng
The prediction of prolonged temperature inversions near the western shore of Lake Erie Maurice E. Graves.,(dlps) 3506550.0001.001,http://name.umdl.umich.edu/3506550.0001.001,"Ann Arbor, Mich. :: University of Michigan, College of Engineering, Dept. of Engineering Mechanics, Meteorological Laboratories,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3506550.0001.001,1962,text,"Graves, Maurice E.",University of Michigan. Meteorological Laboratories.,University of Michigan. Great Lakes Research Division.,,,,,Unspecified,"ix, 37 p. : ill. ; 28 cm.",Cover title.,Includes bibliographical references.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,The University of Michigan Great Lakes Digital Library,Science,Temperature inversions -- Great Lakes Region.,"Temperature forecasting, Minimum -- Great Lakes Region.",Great Lakes Region -- Climate,,,,,eng
"Phytoplankton of the seasonal surveys of 1978 and 1979, and further pre- vs. post-operational comparisons at Cook Nuclear Plant / John C. Ayers, Laurie E. Feldt.",(dlps) 4742365.0001.001,http://name.umdl.umich.edu/4742365.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742365.0001.001,1982,text,"Ayers, John C. (John Carr), 1912-","Feldt, Laurie E.",University of Michigan. Great Lakes Research Division.,,,,,,"70 p. : ill., graphs ; 28 cm. +",Cover title.,Under contract with: American Electric Power Service Corporation.,January 1982.,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
Southern Lake Huron : hydrocarbons and fatty acids in sediments / Philip A. Meyers ... [et al.].,(dlps) 4739037.0001.001,http://name.umdl.umich.edu/4739037.0001.001,"Ann Arbor, Mich. :: Dept. of Atmospheric and Oceanic Science,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739037.0001.001,1979,text,"Meyers, Philip A.",University of Michigan. Great Lakes Research Division.,,,,,,,65 p. ;  28 cm.,Includes bibliographical references (p. 57-63).,,,,,The University of Michigan Great Lakes Digital Library,,"Pediments -- Huron, Lake (Mich. and Ont.)","Huron, Lake (Mich. and Ont.)",,,,,,eng
"Limnology and pollution in Lake Valencia, Venezuela / by C. Kwei Lin.",(dlps) 4743062.0001.001,http://name.umdl.umich.edu/4743062.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4743062.0001.001,1982,text,"Lin, C. Kwei.",University of Michigan. Great Lakes and Marine Waters Center.,,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,Limnology -- Venezuela,Water -- Pollution,,,,,,eng
"Adult, juvenile and larval fish in the vicinity of the J.H. Campbell Power Plant, eastern Lake Michigan, 1978 / by D.J. Jude ... [et al.].",(dlps) 4739062.0001.001,http://name.umdl.umich.edu/4739062.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739062.0001.001,1979,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"vii, 574 p. : ill. ; 28 cm.",Appendixes on microfilm in pocket in back of book.,Includes bibliographical references (p. 559-574).,,,,The University of Michigan Great Lakes Digital Library,,Electric power-plants.,Fishes -- Effect of water pollution on.,"Michigan, Lake.",,,,,eng
"Cook plant preoperational studies, 1971 / John C. Ayers, H.K. Soo, William L. Yocum.",(dlps) 4741237.0001.001,http://name.umdl.umich.edu/4741237.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4741237.0001.001,1972,text,"Ayers, John C. (John Carr), 1912-","Soo, H. K.","Yocum, William L.",University of Michigan. Great Lakes Research Division.,,,,,"140, 12 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Plant -- Environmental aspects.,,,,,,eng
"Lake Huron crustacean and rotifer zooplankton, 1980 : factors affecting community structure with an evaluation of water quality status.",(dlps) 0330266.0001.002,http://name.umdl.umich.edu/0330266.0001.002,"Ann Arbor, Mich. (2200 Bonisteel Blvd., Ann Arbor 48105) :: Great Lakes Research Division, Great Lakes and Marine Waters Center, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:0330266.0001.002,1983,text,"Evans, Marlene S.",,,,,,,Unspecified,,,,,,,The University of Michigan Great Lakes Digital Library,Science,"Crustacea -- Huron, Lake (Mich. and Ont.)",,,,,,,eng
A comparative analysis of Lake Huron phytoplankton assemblages after entrainment at selected water intake facilities.,(dlps) 0783390.0001.001,http://name.umdl.umich.edu/0783390.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:0783390.0001.001,1981,text,"Ladewski, Barbara G.",,,,,,,Unspecified,,,,,,,The University of Michigan Great Lakes Digital Library,Science,"Water quality -- Measurement. -- Huron, Lake (Mich. and Ont.)","Phytoplankton -- Huron, Lake (Mich. and Ont.)",,,,,,eng
